,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000029171,955.7516692,-2.248432964,0.202522293,-11.10215043,1.22E-28,6.27E-27
ENSMUSG00000027199,306.3490269,6.406250801,0.577977524,11.0839099,1.50E-28,7.67E-27
ENSMUSG00000061544,554.316561,-4.14944489,0.374786409,-11.07149242,1.73E-28,8.79E-27
ENSMUSG00000033684,719.3865618,3.33043417,0.301012242,11.06411535,1.87E-28,9.52E-27
ENSMUSG00000001729,3003.834971,2.620445004,0.23687085,11.06275849,1.90E-28,9.65E-27
ENSMUSG00000067736,2488.685299,3.423100716,0.309551916,11.05824432,2.00E-28,1.01E-26
ENSMUSG00000006390,1368.555083,3.077400867,0.278312379,11.0573625,2.02E-28,1.02E-26
ENSMUSG00000047264,950.1622595,2.504825794,0.226534441,11.05715218,2.02E-28,1.02E-26
ENSMUSG00000001507,7279.272511,4.808101897,0.435074423,11.05121709,2.16E-28,1.09E-26
ENSMUSG00000060572,364.7880203,9.881149279,0.895762179,11.03099629,2.71E-28,1.36E-26
ENSMUSG00000021932,1010.035983,-2.713140904,0.246145862,-11.02249245,2.98E-28,1.49E-26
ENSMUSG00000068740,1808.421127,4.368471107,0.397124534,11.00025492,3.81E-28,1.90E-26
ENSMUSG00000028527,3267.085152,-4.072895536,0.370339689,-10.99772898,3.92E-28,1.95E-26
ENSMUSG00000064127,2958.232469,2.04327507,0.186205888,10.9732033,5.14E-28,2.56E-26
ENSMUSG00000041688,1938.692891,5.80397238,0.529063534,10.97027484,5.31E-28,2.63E-26
ENSMUSG00000000805,3072.244405,11.94229281,1.088635931,10.96996018,5.33E-28,2.64E-26
ENSMUSG00000026208,1430.411879,4.50124905,0.410368962,10.96878532,5.40E-28,2.67E-26
ENSMUSG00000063804,2160.720048,3.968641602,0.361817907,10.96861578,5.41E-28,2.67E-26
ENSMUSG00000034903,342.6262005,5.2012191,0.474514565,10.96113688,5.88E-28,2.89E-26
ENSMUSG00000022094,1197.961576,5.578707011,0.509048826,10.9590804,6.01E-28,2.95E-26
ENSMUSG00000042225,1761.783356,1.847105882,0.168571848,10.95738051,6.12E-28,3.00E-26
ENSMUSG00000030087,398.5113287,-4.534451862,0.413959429,-10.95385572,6.37E-28,3.11E-26
ENSMUSG00000053137,344.5493524,3.549318112,0.32449296,10.93804349,7.58E-28,3.69E-26
ENSMUSG00000069895,2098.316184,4.079794916,0.373052825,10.93623917,7.73E-28,3.76E-26
ENSMUSG00000056758,10993.39318,5.858968474,0.535770307,10.93559758,7.79E-28,3.78E-26
ENSMUSG00000015806,1074.616399,-2.184673657,0.200431099,-10.89987367,1.15E-27,5.59E-26
ENSMUSG00000063972,3982.49193,3.280866574,0.301088216,10.8966954,1.20E-27,5.77E-26
ENSMUSG00000003812,467.5063697,-3.149289564,0.289155484,-10.89133611,1.27E-27,6.11E-26
ENSMUSG00000052684,508.7852914,4.141590432,0.380474402,10.88533265,1.35E-27,6.51E-26
ENSMUSG00000035847,847.9132705,2.24676033,0.206529892,10.87862054,1.46E-27,6.99E-26
ENSMUSG00000038375,1784.064056,3.567730737,0.328214088,10.87013283,1.60E-27,7.66E-26
ENSMUSG00000005873,1679.277385,2.47254152,0.227483128,10.86912047,1.62E-27,7.73E-26
ENSMUSG00000026207,1045.087375,6.459780741,0.594764054,10.86108129,1.77E-27,8.42E-26
