"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000005124",534.409946709212,-7.537644293371,0.453751508218262,-16.6118330338315,5.72177583825109e-62,2.82056302274168e-59
"ENSMUSG00000043079",393.405508626369,-7.8879462267998,0.475252055178655,-16.5973952997102,7.27814140773261e-62,3.504340458272e-59
"ENSMUSG00000029093",564.329256634701,-5.0099786312336,0.306768620320828,-16.3314573243965,5.89589958157876e-60,2.77428874856833e-57
"ENSMUSG00000026421",4800.13642163558,-4.00924372287308,0.248178181642187,-16.1546985973708,1.05231652557905e-58,4.8415914101308e-56
"ENSMUSG00000000303",18886.7941934721,2.84046054751792,0.176118440189563,16.1281268699667,1.61855366524029e-58,7.28489893155106e-56
"ENSMUSG00000032323",291.361547597365,-7.78032413237082,0.483582274282339,-16.0889357326367,3.05035859855772e-58,1.34371541328806e-55
"ENSMUSG00000022090",297.635284956855,-4.66192811917267,0.290186256472297,-16.0652960476015,4.46726490409236e-58,1.92688026196517e-55
"ENSMUSG00000048612",1734.60413123135,-6.45319526530229,0.401732038426674,-16.0634319597095,4.60359208057415e-58,1.94515858033076e-55
"ENSMUSG00000021477",4378.66359041181,-2.17815023881527,0.135745225843806,-16.045869939629,6.10968092678882e-58,2.52989667816472e-55
"ENSMUSG00000017737",1409.77540438487,-8.51526267557406,0.532072695887823,-16.0039459671303,1.19927048765579e-57,4.86856787773047e-55
"ENSMUSG00000047261",575.281723964024,-3.66985478453464,0.230261647692162,-15.9377595935598,3.46557512869328e-57,1.37983206662434e-54
"ENSMUSG00000024451",981.266320671516,-4.32117296532819,0.271273798767454,-15.9291939913167,3.97447179309454e-57,1.55259366045716e-54
"ENSMUSG00000026749",861.952026148888,-2.52744772029475,0.159149109723732,-15.88100445351,8.57934493556992e-57,3.28938439900074e-54
"ENSMUSG00000035969",765.709366599121,-6.32023146539494,0.401352745170345,-15.7473233743859,7.1650423784027e-56,2.69718249822636e-53
"ENSMUSG00000031486",766.907188830437,-7.88296982704895,0.50246071620711,-15.6887286364486,1.80637267098747e-55,6.6784178178794e-53
"ENSMUSG00000018819",232.081503706862,-7.7799293701493,0.503605623191795,-15.4484561169929,7.72722076257973e-54,2.80674348541142e-51
"ENSMUSG00000026123",1178.65754342723,-4.00183238646098,0.259817405170468,-15.4024799987335,1.57510715216068e-53,5.62258939281634e-51
"ENSMUSG00000032231",2930.04935524046,-7.43042578276175,0.486130677247616,-15.2848321048807,9.65113851011056e-53,3.38673172395473e-50
"ENSMUSG00000027478",36526.0746806634,2.13676380428953,0.140951328310086,15.1595861486935,6.54806305750327e-52,2.2595182923758e-49
"ENSMUSG00000041120",476.33816311569,-6.54662383241628,0.43249985855934,-15.1367074528605,9.27420208906805e-52,3.14775541068959e-49
"ENSMUSG00000030352",2443.93820605735,-3.97008949391495,0.262780968893053,-15.1079795109923,1.43471859399456e-51,4.79103447904247e-49
"ENSMUSG00000069833",2219.5919420425,-6.28804480105408,0.417860471707384,-15.0481924632905,3.54796429985508e-51,1.16598496609841e-48
"ENSMUSG00000033306",1173.91937112812,-2.70105515244018,0.180845066167761,-14.9357414591258,1.92916279832819e-50,6.24084165259168e-48
"ENSMUSG00000039405",186.062757916277,-5.9409166944754,0.399897895388002,-14.8560839229004,6.35319796850856e-50,2.02364016523079e-47
"ENSMUSG00000024659",870.706174776138,-11.6551030706368,0.78511241428197,-14.8451391910495,7.47993959464097e-50,2.34643438435525e-47
