"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000063804",2160.72004825501,5.27337707776343,0.316325154994202,16.6707484198026,2.1389947026371e-62,4.7324166472018e-60
"ENSMUSG00000024900",1455.35097786154,-4.33979312618261,0.26109014714376,-16.6218188378937,4.84404531819115e-62,1.06089485443455e-59
"ENSMUSG00000048612",1734.60413123135,-6.66921302471806,0.401579643395815,-16.6074479481137,6.1556849937206e-62,1.3346756203385e-59
"ENSMUSG00000019989",1820.55182401438,3.49112268240675,0.210247307306036,16.6048389733956,6.42924454477174e-62,1.38018693286872e-59
"ENSMUSG00000041703",2299.09632033688,4.09095234677669,0.246438098209369,16.6003242863086,6.93154333416622e-62,1.4734286526607e-59
"ENSMUSG00000045136",4802.51865086197,-3.24825835059499,0.196510614962596,-16.5296839115448,2.24316857014336e-61,4.72197873182994e-59
"ENSMUSG00000027189",3924.60462692361,2.79739094780036,0.169399942463988,16.5135295036777,2.93221150537264e-61,6.113097101874e-59
"ENSMUSG00000024427",1944.60002467231,5.93978464413856,0.360404287358708,16.4808934090918,5.03354986732419e-61,1.03940407831736e-58
"ENSMUSG00000043110",836.254825467477,4.9753465606914,0.301975726807233,16.475981739643,5.45950443628788e-61,1.11672618101504e-58
"ENSMUSG00000029512",3832.23691477949,-3.01616597788183,0.183354985582076,-16.4498716427412,8.4046164718606e-61,1.70307377890544e-58
"ENSMUSG00000030246",4989.84145215523,-3.44495980813776,0.20950310461362,-16.4434785560395,9.34005413620297e-61,1.87510234982549e-58
"ENSMUSG00000034675",5198.67166663285,5.86285833330105,0.358348376982718,16.3607782534586,3.64440527260212e-60,7.24935735051002e-58
"ENSMUSG00000030523",1276.86486142672,-12.2491592333664,0.748999349252585,-16.3540318767829,4.07127335620321e-60,8.02484990083618e-58
"ENSMUSG00000056735",408.806889755666,4.15470801344907,0.256608703137672,16.1908304848883,5.85332091418257e-59,1.143348685237e-56
"ENSMUSG00000092274",321.891307581573,-4.30718933589288,0.266432654804172,-16.1661465223122,8.73967207251424e-59,1.69190687389512e-56
"ENSMUSG00000041309",327.917947998809,-7.24088626168722,0.448025467017543,-16.1617738158704,9.38226693329487e-59,1.80023284643982e-56
"ENSMUSG00000026824",1034.70669919667,8.21581681465573,0.508975620310985,16.141867089107,1.29562006870303e-58,2.46417844996659e-56
"ENSMUSG00000038214",4202.65860611033,2.91579300791255,0.180884663342125,16.1196253681143,1.8573177838786e-58,3.50177079913529e-56
"ENSMUSG00000053367",207.695263240524,-5.95590602971044,0.370401726846305,-16.0795849425988,3.54747701616916e-58,6.6307238503948e-56
"ENSMUSG00000032854",505.854413554162,4.92999045452255,0.306691018031769,16.0747793859808,3.83355701361462e-58,7.10420368967455e-56
"ENSMUSG00000046447",222.97208312844,-5.96465329799292,0.371135277267747,-16.0713725246061,4.05018350003391e-58,7.4420405633674e-56
"ENSMUSG00000030111",435.883655072508,-7.61839893158421,0.475465142722131,-16.0230440615844,8.82234579562871e-58,1.60744623143548e-55
