"gene_id","gene_name","aligned.EpiSCs_rep1","aligned.EpiSCs_rep2","aligned.fPSCs_P1","aligned.fPSCs_P10","aligned.fPSCs_P20","aligned.fPSCs_P30","aligned.mESCs_rep1","aligned.mESCs_rep2"
"ENSMUSG00000055067",NA,8179.47498582159,9243.38575434239,8149.310761854,5527.27981798236,8403.37967696236,5640.86264537119,32075.3351058323,31665.9886734366
"ENSMUSG00000054702",NA,42864.4928135417,36659.7995518021,42063.9900987296,96055.2972151895,67148.0548623099,61917.7221557265,316.384706522027,437.774926963887
"ENSMUSG00000096474",NA,477955.12813423,149407.193882109,219174.706493413,223353.051942576,376679.764312551,343623.839004019,173266.81115651,119872.838407924
"ENSMUSG00000026492",NA,27286.3066023654,37356.9519146863,52726.9528529326,53732.1392041591,38639.1523062843,44619.9138831646,39736.2596158574,62535.7045050011
"ENSMUSG00000038949",NA,14599.1222068522,13528.5692670657,11642.9278795309,12889.5835193831,14052.3793938224,8739.73382815459,16743.3193115143,20683.9221058113
"ENSMUSG00000026043",NA,49220.4692338273,52064.0368933745,66.3850276680372,202.951774456612,34.2273480949727,242.850933809055,0,43.5694163163596
"ENSMUSG00000046101",NA,4789.17210918858,6736.857200183,1098.07943213767,0,0,2295.43682930305,69793.4641347159,84320.1207880486
"ENSMUSG00000099032",NA,13358.0287290368,17082.3094589496,25615.9712813742,17592.0377110458,16078.4483213641,6984.50825299838,82939.0092952347,58842.4129218543
"ENSMUSG00000038936",NA,13933.1511187017,11171.0782892247,7828.51672416774,9533.31152238747,9421.76276728978,7772.14701447859,30388.7632664349,42191.417406281
"ENSMUSG00000042772",NA,19158.8233835683,17068.8911298142,18560.6875862335,22013.1349219402,21827.6855226751,26342.7281624724,17744.70996564,14987.1715307788
"ENSMUSG00000100394",NA,0,0,0,0,153881.668672126,0,212349.495929958,195882.382334397
"ENSMUSG00000087236",NA,114901.086136459,53876.5498363907,0,0,0,0,66645.7367945809,46108.1587641008
"ENSMUSG00000026042",NA,41509.868762432,52048.6433309251,6108.27140462178,1568.24327442285,610.339861753474,420.677354137065,1190.36646703199,808.004099988009
"ENSMUSG00000073643",NA,22567.8690458926,18507.8089503132,16437.6981763712,19334.6695243442,16028.7340431619,14574.3310892963,24721.1260952142,21958.4659114112
"ENSMUSG00000026248",NA,68111.2426524292,61040.9251297163,67882.7138079873,96642.2126496132,94739.0082162759,90959.9203049991,63142.4774253709,65754.0058963332
"ENSMUSG00000026249",NA,20876.5337439522,24161.3581899852,17895.6437501527,15344.8854826823,19170.2150759101,18680.408142186,2626.17061663632,1915.71537136835
"ENSMUSG00000042751",NA,21658.8678506674,20895.9743659129,4715.93917220162,24757.3772118876,21957.0317598455,24546.044220091,32626.9436416678,21822.2749865137
"ENSMUSG00000067106",NA,107000.797026814,79638.3228998914,137076.320735185,159531.807620464,227284.235238339,137574.539768351,108610.872113367,165617.560265378
"ENSMUSG00000100397",NA,227482.631485709,255997.148384083,333811.680994302,382697.398261142,344218.839847259,130838.148665542,197919.115821019,219085.245745964
"ENSMUSG00000043230",NA,0,0,0,0,0,0,154950.49858208,142934.517801596
"ENSMUSG00000026491",NA,6267.93460610499,6413.20290861693,12597.584590498,7478.80698517741,8047.45789896891,7488.29885488099,9714.1906010683,8147.59103285332
"ENSMUSG00000025917",NA,27036.5404618657,20957.5181853138,30841.6196873382,32823.9251529273,39534.395379796,27303.4069356908,37655.1616516076,49381.1553282539
"ENSMUSG00000104418",NA,99694.3641584026,186984.773063277,822898.784657288,46588.1401527723,188567.574070327,238916.152881713,260214.420912517,330048.833581963
"ENSMUSG00000026479",NA,19978.4336474572,30098.2495528417,1049.63191090815,3441.45715309568,2894.12584887766,2098.76328852355,30867.7457560314,33965.17413347
"ENSMUSG00000004364",NA,23394.4215674771,23354.7436423939,34052.4501412272,27744.9897094801,28215.0619947204,26800.5003123649,20141.5202028652,21508.7072581188
"ENSMUSG00000103076",NA,15391.5240386863,115472.149454665,56464.4263043535,0,116449.60570123,0,160695.002109616,129704.357156749
"ENSMUSG00000026478",NA,15387.2697777175,20449.442212136,6580.29637638747,9393.19862047658,9802.3633571322,9568.90471237254,30672.5965544937,19035.6769386071
"ENSMUSG00000103818",NA,0,62603.2399376473,0,0,0,0,116161.086707736,120547.256712892
"ENSMUSG00000042708",NA,9453.77450759,22164.140067191,19508.3734632159,28715.9614329986,17881.4052304069,18124.6709751887,74026.5053003815,79666.9479987686
"ENSMUSG00000103543",NA,421231.012795756,148134.850700441,96581.4342821579,98422.6622361625,199185.05643879,100947.424562261,91622.016441908,63387.737664475
"ENSMUSG00000041144",NA,5679.71546253841,6214.11100696317,8247.68826877847,7962.55783053626,10295.3135942462,6351.96747217972,3294.3885433328,1994.28984704544
"ENSMUSG00000042699",NA,9226.75269553893,9447.36827129797,11676.716709753,11820.4213588176,12436.9918472322,12378.4030347677,22151.5236828904,14995.9471523836
"ENSMUSG00000042684",NA,39662.227642904,23910.9711102626,18837.3747370714,14562.8547480889,16075.5828476011,8147.14073342792,147890.343011629,68637.2471480758
"ENSMUSG00000099858",NA,65498.5928678316,61423.9311657379,127650.996078243,122432.502583095,170345.660371674,141269.8176404,142466.080852601,103491.857692754
"ENSMUSG00000101337",NA,8089.93408669905,4668.71384530915,16551.3313229352,9305.85700194298,6473.82158689623,16106.4671625071,5414.28521050507,12735.7771988999
"ENSMUSG00000025986",NA,23596.2693452486,19782.1743413026,29771.4709121989,25611.721682288,19692.4502697759,22142.5869441719,11032.1004120879,12440.1350346818
"ENSMUSG00000100213",NA,0,52304.7204006072,281339.842448186,208511.493615617,79121.209257758,213860.281706475,48526.0281075732,167861.135294488
"ENSMUSG00000100160",NA,0,0,1530764.69667405,623978.874712673,631395.577768625,0,580864.217848014,0
"ENSMUSG00000081185",NA,297957.333236107,139710.716869537,318811.641866587,232063.903804604,0,47603.3728222643,216029.137262522,119566.006621231
"ENSMUSG00000100033",NA,22639.5934446635,21231.1863274894,145344.956854592,42318.8035273857,21410.9054701207,43404.3758783465,137881.551725309,81764.4988051171
"ENSMUSG00000056763",NA,3413.72895614878,3626.32062641166,8672.17900477281,4715.21852521921,4571.27117974087,6037.9783052728,11722.6270912816,14210.9947752325
"ENSMUSG00000100816",NA,263299.088892459,82306.4252426858,0,0,0,84132.3457703128,0,0
"ENSMUSG00000042671",NA,30606.8626124556,26424.8113984061,891.131024836145,21794.8690078998,14702.6173132022,9314.14847722508,0,0
"ENSMUSG00000026109",NA,13630.7804726896,11799.5176783663,39427.0725025671,17149.4493923386,41647.896541275,25127.6732626515,0,315.5675080961
"ENSMUSG00000026475",NA,149371.49936965,209411.197035054,6457.62215804358,37604.1727589813,13317.8994862774,7231.65079547116,2625.43965220682,1513.6525621866
"ENSMUSG00000045954",NA,57538.2481697177,269793.994056142,0,0,0,0,0,0
"ENSMUSG00000066800",NA,47339.4032739457,86014.1948715201,0,0,0,0,15445.2003296062,1780.93349300509
"ENSMUSG00000067851",NA,10350.6026977368,13184.4915722084,18207.4175706957,8768.56439864997,8087.58627133999,11496.113174571,11485.5531071914,6774.50421697239
"ENSMUSG00000038608",NA,24038.0335944885,14491.6904819432,1574.72312704851,3209.48728088211,0,0,5228.51604540632,6201.07604821349
"ENSMUSG00000026107",NA,21927.8321909516,22002.3166933403,14175.6790591781,13988.0883360861,12581.6469111267,11653.0061208512,8434.29378994068,12911.8838978193
"ENSMUSG00000087008",NA,167106.226497072,201485.009369178,109470.701296915,133869.180203208,90306.9124134885,0,83079.5398198886,229910.85679619
"ENSMUSG00000048960",NA,9551.27868150863,7784.14162683172,11340.8289469823,4569.67640791173,4382.03915948744,9537.29421313044,4179.73206316659,8863.32969091432
"ENSMUSG00000067158",NA,0,0,54755.2244849088,5579.90777958348,8469.34705443691,11446.0898912145,10388.7131420732,3593.66148494859
"ENSMUSG00000079465",NA,0,42492.6824820533,34630.64398087,14116.3369580633,0,0,0,9091.4291846119
"ENSMUSG00000056708",NA,79380.80394881,114752.908509776,20404.627834065,19279.5228948616,19202.2629990434,14701.1529093126,27907.7036071011,9621.32254733585
"ENSMUSG00000026471",NA,24260.9988166308,59154.4829560349,24475.6743052106,13604.8791442561,4588.86290112274,9302.58323229187,8443.22118723867,23365.418507206
"ENSMUSG00000057715",NA,5448.09389767987,3512.55331311009,27013.0742600582,13684.4648405769,9821.79467875821,12240.2634563411,15553.3306007413,21623.2996124315
"ENSMUSG00000026470",NA,18891.1767082006,21214.9521029797,9293.23551983656,9702.87927422059,11291.5595187919,9399.60045269439,8394.59340668095,5823.47241586209
"ENSMUSG00000103825",NA,0,0,0,0,0,0,90754.98852539,313939.467160567
"ENSMUSG00000033722",NA,38978.0793122751,50145.9246449195,2155.66816585376,9275.22498570372,9941.19036606358,6196.06827876106,4146.75581775104,785.99720999059
"ENSMUSG00000103670",NA,1325899.25488002,1865122.7682584,0,0,0,317749.90668614,0,0
"ENSMUSG00000026150",NA,11189.6087763145,11415.089397461,14307.9327672677,13578.7326828005,12124.266654547,11432.8190570248,13573.2261691468,14868.8441223723
"ENSMUSG00000101450",NA,89740.2079064269,84157.4774646889,411519.462199916,83872.9334115758,84869.8592158857,43012.2312586144,78077.6206360629,108034.377031707
"ENSMUSG00000026469",NA,7933.98599931367,7691.47032285481,6305.58791980552,8802.77407743815,7204.1803699317,8457.00791529571,5907.68773590255,3625.71729256751
"ENSMUSG00000018417",NA,15361.1517941687,14296.2926976485,10106.7888507518,7940.53156759256,6411.77313634391,5963.0013275048,18263.4591615452,14318.2320055862
"ENSMUSG00000072324",NA,111849.427426741,0,256452.582938158,313609.912352813,264447.937567266,0,389254.153370888,336626.78901972
"ENSMUSG00000026490",NA,6072.44877204652,7028.2956120211,6258.85406056598,6324.70310910662,4397.98478702809,4724.1888969204,6556.09843697642,5101.50958897207
"ENSMUSG00000033701",NA,16183.9566738107,15805.5415874987,16801.0921493545,24211.9567352419,27560.8688961385,27511.2283181606,14525.3523519231,12366.6854512068
"ENSMUSG00000026468",NA,89047.3477265466,47718.6971746663,0,0,0,0,22135.6583365633,15314.3246367882
